Culture,SampleID,DateCollected,IsolateID,Host,Transect,Plot,GCEquadrantID,MarkedPlantID,SeqData,sim90,sim95,sim97,sim99,Phylo_species,FungusGenus,FungusSpecies,EstTaxPlacement,BLAST_FungusGenus,FungusFamily,FungusOrder,FungusClass,FungusSubphylum,FungusPhylum
1,G833,4/25/2015,833,SP,JEFT4,JEF4B,NA,NA,1,Q,Q,Q,Q,Q,Alternaria,eureka,Alternaria_eureka,NA,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G834,4/25/2015,834,SP,JEFT4,JEF4C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G835,4/25/2015,835,SP,JEFT4,JEF4C,NA,NA,1,R,R,R,AZ,R2,Stemphylium,sp.,Stemphylium_sp.,Pleospora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G836,4/25/2015,836,SP,JEFT4,JEF4C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G837,4/25/2015,837b,SP,JEFT4,JEF4C,NA,NA,1,H,H,H,H,H1,Cladosporium,cladosporioides species complex,Cladosporium_cladosporioides species complex,NA,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G838,4/25/2015,838b,SP,JEFT4,JEF4C,NA,NA,1,H,H,H,H,H1,Cladosporium,cladosporioides species complex,Cladosporium_cladosporioides species complex,NA,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G839,4/25/2015,839,SP,JEFT4,JEF4D,NA,NA,1,B,B,B,B,B1,Ramularia,cf. collo-cygni,Ramularia_cf. collo-cygni,Mycosphaerella,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G84,3/30/2015,84,SP,T3,3B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G840,4/25/2015,840b,SP,JEFT4,JEF4D,NA,NA,1,B,B,B,B,B1,Ramularia,cf. collo-cygni,Ramularia_cf. collo-cygni,Mycosphaerella,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G841,4/25/2015,841,SP,JEFT4,JEF4D,NA,NA,1,J,J,J,J,J,Pyrenophora,nobleae,Pyrenophora_nobleae,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G842,4/25/2015,842ab,SP,JEFT4,JEF4D,NA,NA,1,B,B,B,B,B1,Ramularia,cf. collo-cygni,Ramularia_cf. collo-cygni,Mycosphaerella,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G843,4/25/2015,843,SP,JEFT4,JEF4D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G844,4/25/2015,844,SP,JEFT5,JEF5A,NA,NA,1,F,F,F,F,F,Pyrenophora,fugax,Pyrenophora_fugax,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G845,4/25/2015,845,SP,JEFT5,JEF5A,NA,NA,1,F,F,F,F,F,Pyrenophora,fugax,Pyrenophora_fugax,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G846,4/25/2015,846,SP,JEFT5,JEF5A,NA,NA,1,H,H,H,AT,H2,Cladosporium,herbarum species complex,Cladosporium_herbarum species complex,NA,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G847,4/25/2015,847,SP,JEFT5,JEF5A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G848,4/25/2015,848,SP,JEFT5,JEF5A,NA,NA,1,H,H,H,AT,H2,Cladosporium,herbarum species complex,Cladosporium_herbarum species complex,NA,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G849,4/25/2015,849,SP,JEFT5,JEF5B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G85,3/30/2015,85_60,PA,T7,7D,NA,NA,1,C,C,C,AR,C1,Alternaria,infectoria species–group,Alternaria_infectoria species–group,Lewia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G850,4/25/2015,850,SP,JEFT5,JEF5B,NA,NA,1,B,B,B,B,B1,Ramularia,cf. collo-cygni,Ramularia_cf. collo-cygni,Mycosphaerella,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G851,4/25/2015,851,SP,JEFT5,JEF5B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G852,4/25/2015,852,SP,JEFT5,JEF5B,NA,NA,1,F,F,F,F,F,Pyrenophora,fugax,Pyrenophora_fugax,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G853,4/25/2015,853,SP,JEFT5,JEF5B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
