Culture,SampleID,DateCollected,IsolateID,Host,Transect,Plot,GCEquadrantID,MarkedPlantID,SeqData,sim90,sim95,sim97,sim99,Phylo_species,FungusGenus,FungusSpecies,EstTaxPlacement,BLAST_FungusGenus,FungusFamily,FungusOrder,FungusClass,FungusSubphylum,FungusPhylum
1,G64,3/30/2015,64_30,EG,T6,6E,NA,NA,1,D,D1,D,AS,AS,Parastagonospora,sp.,Parastagonospora_sp.,Phaeosphaeria,Phaeosphaeriaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G640,4/28/2015,640,EG,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G641,4/28/2015,641,EG,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G642,4/28/2015,642,EG,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G643,4/28/2015,643,EG,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G65,3/30/2015,65_30,AB,T7,7E,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G65,3/30/2015,65_60,AB,T7,7E,NA,NA,1,A1,A,A,A,A1,Pyrenophora,chaetomioides,Pyrenophora_chaetomioides,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G659,4/28/2015,659,BRAD,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G66,4/6/2015,66,EG,T8,8B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G660,4/28/2015,660,PA,T11,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G663,4/28/2015,663,PA,T12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G664,4/28/2015,664,PA,T12,NA,NA,NA,1,C,C,C,AW,C1,Alternaria,infectoria species–group,Alternaria_infectoria species–group,Lewia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G665,4/28/2015,665,PA,T12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G666,4/28/2015,666,PA,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G667,4/28/2015,667,PA,site 15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G668,4/28/2015,668,PA,site 15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G669,4/28/2015,669,PA,site 15,NA,NA,NA,1,AB,AF,AF,AF,AF,Anthostomella,sp.,Anthostomella_sp.,Virgaria,Xylariaceae,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota
0,G67,3/30/2015,67_30,PA,T7,7D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G67,3/30/2015,67_60,PA,T7,7D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G670,4/28/2015,670,PA,site 15,NA,NA,NA,1,B,B,B,AX,B2,Ramularia,pusilla,Ramularia_pusilla,Mycosphaerella,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G671,4/28/2015,671,PA,site 15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G672,4/28/2015,672,PA,site 15,NA,NA,NA,1,C,C,C,C,C1,Alternaria,infectoria species–group,Alternaria_infectoria species–group,Lewia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G673,4/28/2015,673,PA,site 15,NA,NA,NA,1,C,C,C,AQ,C1,Alternaria,infectoria species–group,Alternaria_infectoria species–group,Lewia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G674,4/28/2015,674,PA,site 15,NA,NA,NA,1,C,C,C,AR,C1,Alternaria,infectoria species–group,Alternaria_infectoria species–group,Lewia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G675,4/28/2015,675,PA,site 15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G676,4/28/2015,676,PA,site 15,NA,NA,NA,1,D,D1,AM,AM,AM,Parastagonospora,caricis,Parastagonospora_caricis,Parastagonospora,Phaeosphaeriaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G68,3/30/2015,68A,EG,T6,6E,NA,NA,1,A1,A,AL,AL,A2,Pyrenophora,lolii,Pyrenophora_lolii,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G680,4/28/2015,680B,AF,T13,NA,NA,NA,1,H,H,H,AT,H2,Cladosporium,herbarum species complex,Cladosporium_herbarum species complex,NA,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G681,4/28/2015,681,AF,T13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G682,4/28/2015,682,AF,T13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G683,4/28/2015,683,AF,T13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G688,4/28/2015,688,AF,T14,NA,NA,NA,1,A1,A,A,AP,A1,Pyrenophora,chaetomioides,Pyrenophora_chaetomioides,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G689,4/28/2015,689,AF,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G69,4/6/2015,69,BH,T8,8B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G690,4/28/2015,690,FP,T11,NA,NA,NA,1,A1,A,AL,AL,A2,Pyrenophora,lolii,Pyrenophora_lolii,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G691,4/28/2015,691,FP,T11,NA,NA,NA,1,A1,A,A,A,A1,Pyrenophora,chaetomioides,Pyrenophora_chaetomioides,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G692,4/28/2015,692,FP,T12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G693,4/28/2015,693,FP,T12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G694,4/28/2015,694,FP,T12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G695,4/28/2015,695,FP,T13,NA,NA,NA,1,B,B,B,B,B1,Ramularia,cf. collo-cygni,Ramularia_cf. collo-cygni,Mycosphaerella,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G696,4/28/2015,696,FP,T13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G697,4/28/2015,697A,FP,T14,NA,NA,NA,1,Y,Z,Z,Z,Z,Phaeosphaeriopsis,sp. ,Phaeosphaeriopsis_sp. ,Phaeosphaeria,Phaeosphaeriaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G698,4/28/2015,698,FP,T14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G699,4/28/2015,699,FP,T14,NA,NA,NA,1,AC,AG,AG,AG,AG,Pyrenochaeta,cava,Pyrenochaeta_cava,Pyrenochaeta,Cucurbitariaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G7,3/19/2015,7,BH,T2,2E,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G70,4/6/2015,70b,SP,T8,8B,NA,NA,1,M,M,M,M,M,Nemania,serpens,Nemania_serpens,Nemania,Xylariaceae,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota
0,G71,4/6/2015,71,BH,T1,1A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G72,3/30/2015,72_30,AB,T8,8A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
